name,species,diet,period,continent,type,length_m,body_mass_kg,year_named
Coelurus,fragilis,carnivore,Late Jurassic,USA,small theropod,1.8,,1879
Coloradisaurus,brevis,omnivore,Late Triassic,Argentina,sauropod,4.0,,1978
Compsognathus,longipes,carnivore,Late Jurassic,Germany,small theropod,0.65,,1859
Conchoraptor,gracilis,carnivore,Late Cretaceous,Mongolia,small theropod,1.5,,1986
Confuciusornis,sanctus,carnivore,Early Cretaceous,China,small theropod,0.25,,1995
Corythosaurus,casuarius,herbivore,Late Cretaceous,USA,euornithopod,10.0,,1914
Cryolophosaurus,elliotti,carnivore,Early Jurassic,Antarctica,large theropod,8.0,,1994
Dacentrurus,armatus,herbivore,Late Jurassic,United Kingdom,armoured dinosaur,6.0,,1902
Daspletosaurus,torosus,carnivore,Late Cretaceous,Canada,large theropod,9.0,,1970
Datousaurus,bashanensis,herbivore,Mid Jurassic,China,sauropod,15.0,,1984
Deinocheirus,mirificus,omnivore,Late Cretaceous,Mongolia,large theropod,10.0,,1970
Deinonychus,antirrhopus,carnivore,Early Cretaceous,USA,small theropod,3.0,,1969
Deltadromeus,agilis,carnivore,Late Cretaceous,Morocco,large theropod,8.1,,1996
Dicraeosaurus,hansemanni,herbivore,Late Jurassic,Tanzania,sauropod,20.0,,1914
Dilophosaurus,,carnivore,Early Jurassic,USA,large theropod,6.0,,
Diplodocus,longus,herbivore,Late Jurassic,USA,sauropod,26.0,,1878
Dromaeosaurus,albertensis,carnivore,Late Cretaceous,USA,small theropod,1.8,,1922
Dromiceiomimus,brevitertius,omnivore,Late Cretaceous,Canada,large theropod,3.5,,1926
Dryosaurus,altus,herbivore,Late Jurassic,USA,euornithopod,4.0,,1894
Dryptosaurus,aquilunguis,carnivore,Late Cretaceous,USA,large theropod,6.4,,1866
Dubreuillosaurus,valesdunensis,carnivore,Late Jurassic,France,large theropod,,,2005
Edmontonia,longiceps,herbivore,Late Cretaceous,Canada,armoured dinosaur,4.0,,1928
Edmontosaurus,regalis,herbivore,Late Cretaceous,Canada,euornithopod,13.0,,1917
Einiosaurus,procurvicornis,herbivore,Late Cretaceous,USA,ceratopsian,6.0,,1995
Elaphrosaurus,bambergi,carnivore,Late Jurassic,Tanzania,large theropod,6.2,,1920
Emausaurus,ernsti,herbivore,Mid Jurassic,Germany,armoured dinosaur,2.0,,1991
Eolambia,caroljonesa,herbivore,Late Cretaceous,USA,euornithopod,,,1998
Eoraptor,lunensis,carnivore,Late Triassic,Argentina,small theropod,1.0,,1993
Eotyrannus,lengi,carnivore,Early Cretaceous,United Kingdom,large theropod,5.0,,2001
Equijubus,normani,herbivore,Early Cretaceous,China,euornithopod,,,2003
Erketu,ellisoni,herbivore,Early Cretaceous,Mongolia,sauropod,15.0,,2006
Erlikosaurus,andrewsi,omnivore,Late Cretaceous,Mongolia,small theropod,3.4,,1980
Euhelopus,zdanskyi,herbivore,Late Jurassic,China,sauropod,10.0,,1929
Euoplocephalus,,herbivore,Late Cretaceous,USA,armoured dinosaur,7.0,,
Europasaurus,holgeri,herbivore,Late Jurassic,Germany,sauropod,6.2,,2006
Eustreptospondylus,oxoniensis,carnivore,Mid Jurassic,United Kingdom,large theropod,7.0,,1964
Fukuiraptor,kitadaniensis,carnivore,Early Cretaceous,Japan,large theropod,4.2,,2000
Fukuisaurus,tetoriensius,herbivore,Early Cretaceous,Japan,euornithopod,4.7,,2003
Gallimimus,bullatus,omnivore,Late Cretaceous,Mongolia,large theropod,6.0,,1972
Gargoyleosaurus,parkpinorum,herbivore,Late Jurassic,USA,armoured dinosaur,4.0,,1998
Garudimimus,brevipes,omnivore,Late Cretaceous,Mongolia,large theropod,4.7,,1981
Gasosaurus,constructus,carnivore,Mid Jurassic,China,small theropod,4.0,,1985
Gasparinisaura,cincosaltensis,herbivore,Late Cretaceous,Argentina,euornithopod,0.8,,1996
Gastonia,burgei,herbivore,Early Cretaceous,USA,armoured dinosaur,4.6,,1998
Giganotosaurus,carolinii,carnivore,Early Cretaceous,Argentina,large theropod,12.5,,1995
Gilmoreosaurus,mongoliensis,herbivore,Late Cretaceous,China,euornithopod,6.0,,1979
Giraffatitan,brancai,herbivore,Late Jurassic,Tanzania,sauropod,23.0,,1914
Gobisaurus,domoculus,herbivore,Early Cretaceous,China,armoured dinosaur,5.0,,2001
Gorgosaurus,libratus,carnivore,Late Cretaceous,USA,large theropod,8.6,,1914
Goyocephale,lattimorei,herbivore,Late Cretaceous,Mongolia,large theropod,2.0,,1982
Graciliceratops,mongoliensis,herbivore,Late Cretaceous,Mongolia,ceratopsian,,,2000
Gryposaurus,notabilis,herbivore,Late Cretaceous,USA,euornithopod,10.0,,1914
Guaibasaurus,candelariensis,herbivore,Late Triassic,Brazil,small theropod,1.8,,1999
Guanlong,wucaii,carnivore,Late Jurassic,China,small theropod,3.0,,2006
Hadrosaurus,foulkii,herbivore,Late Cretaceous,USA,euornithopod,9.0,,1858
Hagryphus,giganteus,omnivore,USA,,small theropod,3.0,,2005
Haplocanthosaurus,priscus,herbivore,Late Jurassic,USA,sauropod,21.5,,1903
Harpymimus,okladnikovi,omnivore,Early Cretaceous,Mongolia,small theropod,2.0,,1984
Herrerasaurus,ischigualastensis,carnivore,Late Triassic,Argentina,small theropod,3.0,,1963
Hesperosaurus,mjosi,herbivore,Late Jurassic,USA,armoured dinosaur,6.0,,2001
Heterodontosaurus,tucki,herbivore,Early Jurassic,South Africa,euornithopod,1.2,,1962
Heyuannia,yanshini,omnivore,Late Cretaceous,Mongolia,small theropod,2.0,,1981
Homalocephale,calathocercos,herbivore,Late Cretaceous,Mongolia,euornithopod,1.5,,1974
Huayangosaurus,taibaii,herbivore,Mid Jurassic,China,armoured dinosaur,4.5,,1982
Hylaeosaurus,armatus,herbivore,Early Cretaceous,United Kingdom,armoured dinosaur,5.0,,1833
Hypacrosaurus,altispinus,herbivore,Late Cretaceous,USA,euornithopod,9.0,,1913
Hypsilophodon,foxii,herbivore,Early Cretaceous,United Kingdom,euornithopod,2.3,,1869
Iguanodon,bernissartensis,herbivore,Early Cretaceous,United Kingdom,euornithopod,10.0,,1881
Indosuchus,raptorius,carnivore,Late Cretaceous,India,large theropod,7.0,,1933
Irritator,challengeri,carnivore,Early Cretaceous,Brazil,large theropod,6.5,,1996
Isisaurus,colberti,herbivore,Late Cretaceous,India,sauropod,,,1997
Janenschia,robusta,herbivore,Late Jurassic,Tanzania,sauropod,20.0,,1991
Jaxartosaurus,aralensis,herbivore,Late Cretaceous,Kazakhstan,euornithopod,9.0,,1939
Jingshanosaurus,xinwaensis,herbivore,Early Jurassic,China,sauropod,5.0,,1995
Jinzhousaurus,yangi,herbivore,Early Cretaceous,China,euornithopod,,,2001
Jobaria,tiguidensis,herbivore,Early Cretaceous,Niger,sauropod,21.0,,1999
Juravenator,starki,carnivore,Late Jurassic,Germany,small theropod,0.8,,2006
Kentrosaurus,aethiopicus,herbivore,Late Jurassic,Tanzania,armoured dinosaur,5.0,,1915
Khaan,mckennai,omnivore,Late Cretaceous,Mongolia,small theropod,1.8,,2001
Kotasaurus,yamanpalliensis,herbivore,Early Jurassic,India,sauropod,9.0,,1988
Kritosaurus,navajovius,herbivore,Late Cretaceous,USA,euornithopod,8.0,,1910
Lambeosaurus,lambei,herbivore,Late Cretaceous,Canada,euornithopod,9.0,,1923
Lapparentosaurus,madagascariensis,herbivore,Mid Jurassic,Madagascar,sauropod,,,1986
Leaellynasaura,amicagraphica,herbivore,Early Cretaceous,Australia,euornithopod,2.0,,1989
Leptoceratops,gracilis,herbivore,Late Cretaceous,USA,ceratopsian,3.0,,1914
Lesothosaurus,diagnosticus,herbivore,Early Jurassic,Lesotho,1.0m,,,1978
Liaoceratops,yanzigouensis,herbivore,Early Cretaceous,China,ceratopsian,,,2002
Ligabuesaurus,leanzai,herbivore,Early Cretaceous,Argentina,sauropod,24.0,,2006
Liliensternus,liliensterni,carnivore,Late Triassic,Germany,small theropod,5.0,,1934
Lophorhothon,atopus,herbivore,Late Cretaceous,USA,euornithopod,4.5,,1960
Lophostropheus,airelensis,carnivore,Early Jurassic,France,large theropod,6.2,,1993
Lufengosaurus,huenei,herbivore,Early Jurassic,China,sauropod,6.0,,1941
Lurdusaurus,arenatus,herbivore,Early Cretaceous,Niger,euornithopod,9.0,,1999
Lycorhinus,angustidens,herbivore,Late Triassic,South Africa,euornithopod,1.2,,1924
Magyarosaurus,dacus,herbivore,Late Cretaceous,Romania,sauropod,5.0,,1915
Maiasaura,peeblesorum,herbivore,Late Cretaceous,USA,euornithopod,9.0,,1979
Majungasaurus,atopus,carnivore,Late Cretaceous,Madagascar,large theropod,6.0,,1979
Malawisaurus,dixeyi,herbivore,Early Cretaceous,Malawi,sauropod,9.0,,1928
Mamenchisaurus,constructus,herbivore,Late Jurassic,China,sauropod,22.0,,1954
Mapusaurus,roseae,carnivore,Late Cretaceous,Argentina,large theropod,13.0,,2006
